Frequency (GHz),Transmission S21 (dB),Reflection S11 (dB),S21 error (dB),s11 error (dB)
1.0002625,-0.255,,0.05,
1.01026215125,,-31.2,,2
2.000225,-0.385,,0.05,
2.080222,,-28.26,,15
3.990150375,,-24,,10
4.00015,-0.6,,0.1,
7.10003375,,-18.30,,5
7.1600315,-1.06,,0.5,
