Frequency (GHz),Transmission S21 (dB),Reflection S11 (dB),S21 error (dB),s11 error (dB)
1.0002625,0.006,-49.5,0.004,0.2
2.000225,0.007,-39.6,0.01,0.2
4.00015,0.012,-25.3,0.01,0.3
7.0000375,-0.012,-34.0,0.005,0.4
