resonant frequency [GHz],reflection coefficient [mU],Uncertainty of rho [mU],Phase offset [degrees],calibrated?,kappa,rho at half-FWHM [mU],FWHM [MHz]
2.992362525013,443.9,0.5,28,no,-1.00451,624.4,3.0015007
2.9915625,581.2,0.5,82,yes,-1.498,410.97,2.2187499
