Resonant freq [GHz],|rho| at resonance [dB],uncertainty of |rho| at resonance [dB],kappa (rho positive),kappa (rho negative),"rho at FWHM, kappa_pos [dB]","rho at FWHM, kappa_neg [dB]",FWHM [MHz],uncertainty of Delta |rho| at FWHM [dB]
2.992206875,-5.445,0.010,-0.68968,-1.44994,3.914589,-3.914589,1.06875,0.015
4.53973125,-40.00,5.00,-0.951219,-1.051282,28.29310,-28.2931,0.2875,1
6.21559375,-2.370,0.05,-0.406528,-2.459865,1.8189145,-1.8189145,2.78125,0.02
6.940125,-9.575,0.5,-0.81087,-1.23323,6.80737,-6.80737,2.8125,0.1
7.750890625,-0.440,0.1,,,,,,
7.75975,-4.130,0.08,-0.610136,-1.638977,3.004737,-3.004737,4.375,0.05
