Amplitude,Amplitude error,Decay constant,Decay constant error,Constant,Constant error
66.12124808964487,0.2001438883010806,3.049052276536888e-06,3.5041229676291223e-12,299792458.0,0.13258875712122611
64.77033727650118,0.15202168481992212,2.9118526431435e-06,2.908015943069563e-12,299792458.0,0.09865707073410175
61.84663499069027,0.14406367853665786,2.978240240680793e-06,2.9544315063084647e-12,299792458.0,0.09443138471156583
61.787730173167056,0.12409216640670646,2.9156613841236986e-06,2.605043691153906e-12,299792458.0,0.0805780331524504
59.4685929555159,0.13629439016052394,3.0983804523717357e-06,2.8996656785363702e-12,299792458.0,0.09095511919226895
56.68326927482809,0.1298713427389263,2.887719239442153e-06,3.271142319023611e-12,299792458.0,0.08397427752677772
63.60402375836323,0.15611940343196642,3.03146562878942e-06,2.9721472330787964e-12,299792458.0,0.10315238898532117
59.921605117952375,0.1673084947183357,2.8995938164271174e-06,3.755185875034669e-12,299792458.0,0.10837665638542927
58.56003780401901,0.14063197140043612,2.9590837847112614e-06,3.2381269178125302e-12,299792458.0,0.09191697914201112
59.75278049584717,0.14207431239484616,2.8398782691994703e-06,3.2726360000951898e-12,299792458.0,0.09120648217483271
63.945746017862426,0.16027254477411704,3.0083069504448304e-06,3.0428396422881004e-12,299792458.0,0.10553101218218365
65.16513833908078,0.13291890502304402,2.9705475348527077e-06,2.461614812045365e-12,299792458.0,0.08702659806925384
