Voltage,Average Sagnac Frequency (Hz),Sagnac error,Rotation Rate (rad/s),Rotation rate error
1V,3693.5554,0.27850821662064473,8.448011,0.00012685095783834729
1.5V,6062.346,0.398250351293915,13.4167795,0.00019484093668238153
2V,9143.2705,0.6319669155165459,18.258072,0.000200346025951552
2.5V,14975.549,0.7176226317905314,22.869892,0.0002665300242882072
3V,14935.256,2.3601574103850003,28.203918,0.00028490968422634596
5V,26884.5,2.511962515059114,47.95458,0.0003154479133113538
