Reflectivity,Reflectivity error,Finesse,Finesse error
0.9994544629677966,1.516104549549461e-07,5757.144655120688,0.509425515560193
0.9994287658916413,1.5874956831930504e-07,5498.087713979654,0.4865016395852652
0.9994414956464581,1.552128642282255e-07,5623.439127300455,0.49759339234066374
0.9994295118843176,1.5854210719031526e-07,5505.279284132763,0.48713736251091944
0.9994631459304909,1.4919758731179933e-07,5850.284891851928,0.5176656126673118
0.9994239933181743,1.6007581043297294e-07,5452.519620304722,0.4824704115302266
0.9994512989751448,1.524891655306694e-07,5723.937983533094,0.5064860187930168
0.9994263515358811,1.5942104172445944e-07,5474.940901741847,0.48445561094148104
0.9994378810288168,1.5621732882260883e-07,5587.2683827852015,0.49439348512863296
0.9994142926746028,1.6277093629132772e-07,5362.1874880744035,0.47447744102527534
0.9994470761092433,1.5366247643463177e-07,5680.210342121531,0.5026169540371729
0.9994400497155201,1.5561428810010616e-07,5608.91395116285,0.49630716851130935
