"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.226829167E-1,-1.740589156E-3,-3.009554930E-4,-1.443024958E-3,2.280908996E-3
7.327319167E-1,1.555339084E-3,1.541785896E-4,5.024141865E-4,1.641727967E-3
7.427809167E-1,-1.914054155E-5,-1.663552132E-3,-2.528881188E-3,3.027046765E-3
7.528299167E-1,1.336142188E-3,-9.623416699E-4,-2.960867423E-4,1.673034607E-3
7.628789167E-1,-6.112112897E-5,-6.535500288E-4,5.773724988E-4,8.741981669E-4
7.729279167E-1,1.493365970E-3,-6.383704022E-4,-1.931058941E-3,2.523221616E-3
7.829769167E-1,2.684096398E-4,1.200807746E-3,1.974050538E-4,1.246174841E-3
7.930259167E-1,-1.200856408E-3,-1.246104948E-3,4.914180608E-4,1.798978979E-3
8.030749167E-1,-1.433935249E-3,4.859329201E-4,9.504675400E-4,1.787649196E-3
8.131239167E-1,-6.264648400E-4,3.104303032E-4,8.641810855E-4,1.111590805E-3
8.231729167E-1,7.069758722E-4,1.624286640E-3,1.040544477E-3,2.054471899E-3
8.332219167E-1,1.877967734E-3,1.308435574E-3,1.501803985E-3,2.737550305E-3
8.432699167E-1,-8.070949116E-5,-1.602458768E-3,1.784573309E-3,2.399810413E-3
8.533189167E-1,1.429835567E-3,-5.094972439E-4,-3.862689482E-5,1.518390341E-3
8.633679167E-1,1.341694850E-3,2.982403152E-3,7.673364016E-4,3.359118751E-3
8.734169167E-1,1.608492748E-4,-5.276431330E-4,1.990178134E-4,5.864195214E-4
8.834659167E-1,3.172183642E-5,-6.290902384E-4,-4.048573319E-4,7.487791811E-4
8.935149167E-1,8.343985537E-4,-7.563889958E-4,5.030143075E-4,1.233437738E-3
9.035639167E-1,-6.629413110E-4,4.007136449E-4,3.129389137E-3,3.223839168E-3
9.136129167E-1,2.502566495E-4,8.459668607E-5,7.477239706E-4,7.930171032E-4
9.236619167E-1,6.150602712E-5,1.923740841E-3,6.012448575E-4,2.016446676E-3
9.337109167E-1,-7.931023138E-4,-1.584707759E-3,1.251056208E-3,2.169205292E-3
9.437599167E-1,-1.374783693E-3,6.319391541E-4,-6.325225113E-4,1.639957934E-3
9.538089167E-1,2.699319972E-3,2.577649429E-4,1.700672787E-3,3.200790372E-3
9.638579167E-1,1.762520988E-3,3.295019269E-6,-4.402642953E-4,1.816679316E-3
9.739069167E-1,-3.326246981E-3,-5.786055699E-4,6.407127948E-4,3.436454025E-3
9.839559167E-1,-2.009062795E-3,-1.430131495E-3,-4.603790585E-4,2.508696531E-3
9.940049167E-1,-2.492459607E-4,-6.871097721E-4,3.209989518E-3,3.292153717E-3
1.004053750E0,1.236189855E-3,-9.885290638E-5,7.291735383E-4,1.438621321E-3
1.014102750E0,-1.204064582E-3,-5.073817447E-4,-1.040763222E-3,1.670447795E-3
1.024151750E0,-1.517759520E-4,5.683209747E-5,1.852379530E-3,1.859455767E-3
1.034200750E0,3.465014743E-4,-5.146819167E-4,2.448955202E-4,6.670341542E-4
1.044249750E0,-2.252105158E-3,-1.966836862E-4,6.079101586E-4,2.340986304E-3
1.054298750E0,-2.542015573E-4,2.343971748E-3,-3.039562143E-4,2.377227664E-3
1.064347750E0,-1.388539560E-3,5.741482601E-4,1.191912103E-3,1.917900622E-3
1.074396750E0,-2.184292069E-3,1.895879395E-4,7.519578794E-4,2.317868866E-3
1.084445750E0,1.882631099E-3,-1.156940125E-4,-1.737070153E-3,2.564195327E-3
1.094494750E0,-6.660140352E-4,-5.489904433E-4,6.477904972E-4,1.079165293E-3
1.104543750E0,-3.184813831E-4,-6.451192312E-4,4.630582407E-5,7.209392784E-4
1.114592750E0,3.169488336E-4,3.172521945E-3,-7.102981908E-4,3.266477549E-3
1.124640750E0,-1.464657718E-3,7.870588452E-4,7.770722732E-5,1.664548669E-3
1.134689750E0,-1.820793550E-4,7.529701106E-4,3.091340419E-3,3.186926806E-3
1.144738750E0,1.072746469E-3,-4.302356392E-4,7.557115750E-4,1.380937246E-3
1.154787750E0,4.106846172E-4,-5.551381037E-4,1.413778635E-3,1.573407194E-3
1.164836750E0,-1.348452060E-4,-1.731669996E-3,-9.952908149E-4,2.001866132E-3
1.174885750E0,-1.172412653E-3,5.432022735E-4,3.021288663E-3,3.286001419E-3
1.184934750E0,-1.434125006E-3,3.316965885E-4,-7.926128455E-5,1.474116519E-3
1.194983750E0,1.757673686E-3,2.985003404E-3,-5.032365443E-4,3.500415565E-3
1.205032750E0,-1.200853381E-3,-3.154814942E-3,6.396760582E-4,3.435708314E-3
1.215081750E0,2.078563208E-3,3.749388270E-4,1.924118726E-3,2.857137904E-3
1.225130750E0,2.397965727E-4,9.095016867E-4,-4.915025202E-4,1.061258895E-3
1.235179750E0,-1.012954395E-3,-1.794938464E-3,1.206795219E-3,2.388354119E-3
1.245228750E0,-2.425990766E-3,1.885889564E-3,-1.269602682E-3,3.324740834E-3
1.255277750E0,2.661988256E-4,-3.406344447E-3,3.356041620E-3,4.789265044E-3
1.265326750E0,-2.511030179E-4,-1.430131495E-3,-7.815935533E-4,1.649004943E-3
1.275375750E0,-1.970706042E-3,1.540624537E-3,-1.871760178E-4,2.508433999E-3
1.285424750E0,-1.576845534E-4,4.533524625E-4,2.433970221E-4,5.381774652E-4
1.295473750E0,1.491611125E-3,1.849061809E-4,6.636438193E-4,1.643020743E-3
1.305522750E0,9.986904915E-4,-1.549612731E-3,-1.928646816E-3,2.668025647E-3
1.315571750E0,-2.942742431E-4,-1.489691436E-3,-9.936110582E-4,1.814673756E-3
1.325620750E0,9.636493633E-5,1.573069021E-3,1.121987822E-3,1.934603065E-3
1.335669750E0,1.232628711E-4,-8.243080229E-4,-8.932261262E-4,1.221691600E-3
1.345718750E0,8.552640793E-4,-1.978194341E-3,8.783262456E-5,2.156952495E-3
1.355767750E0,1.873656875E-3,-1.425854862E-3,1.683598734E-3,2.894504598E-3
1.365816750E0,-4.481236683E-4,9.616413154E-4,1.741503947E-4,1.075126598E-3
1.375865750E0,-5.708954413E-4,-4.487689584E-4,2.433925983E-4,7.658688791E-4
1.385914750E0,-8.234205889E-4,-1.459614374E-3,-2.911327407E-3,3.359214619E-3
1.395963750E0,1.856511226E-4,-5.000773817E-4,1.906064805E-3,1.979299565E-3
1.406012750E0,-1.988011179E-3,7.939497009E-4,6.313902559E-4,2.231859815E-3
1.416060750E0,-1.878821757E-3,-3.352304921E-4,-3.760835971E-4,1.945196532E-3
1.426109750E0,-1.634231012E-4,-6.625615060E-4,9.688185528E-4,1.185033437E-3
1.436158750E0,2.504321164E-4,7.047052495E-4,-6.743518170E-4,1.007013459E-3
1.446207750E0,-9.884138126E-4,-7.406114601E-4,2.854405320E-4,1.267652751E-3
1.456256750E0,1.732005272E-3,-2.407750580E-3,-2.820790978E-4,2.979374723E-3
1.466305750E0,7.269961061E-4,5.997107364E-4,6.666146219E-4,1.154361884E-3
1.476354750E0,1.576278242E-3,-1.123354305E-3,-1.229822403E-3,2.293259936E-3
1.486403750E0,1.317280112E-4,2.480955329E-3,-2.741772041E-4,2.499532907E-3
1.496452750E0,-9.543090709E-4,9.929062799E-5,-3.955198452E-3,4.069908995E-3
1.506501750E0,-2.542541188E-4,-1.421302091E-3,-1.951479935E-3,2.427554063E-3
1.516550750E0,9.489620570E-4,-1.265240833E-3,-7.053868030E-4,1.731743022E-3
1.526599750E0,-9.986683726E-4,-7.479642518E-4,1.878086478E-4,1.261769047E-3
1.536648750E0,-5.174351390E-4,-3.586099483E-4,4.373468691E-4,7.665588706E-4
1.546697750E0,4.219504190E-4,-2.256807871E-3,2.380569698E-3,3.307315530E-3
1.556746750E0,2.656228608E-4,6.937081926E-4,1.371764345E-3,1.559975634E-3
1.566795750E0,-6.898242282E-4,3.391187638E-4,7.882756181E-4,1.101016554E-3
1.576844750E0,-1.029377221E-3,1.902661286E-3,-1.487129135E-3,2.625126758E-3
1.586893750E0,-1.185706817E-3,-1.602142584E-3,1.012278721E-3,2.235502118E-3
1.596942750E0,2.159489784E-3,-6.336811930E-5,3.747178707E-4,2.192675336E-3
1.606991750E0,-3.081047907E-5,1.238359604E-3,-3.340572584E-4,1.282995731E-3
1.617040750E0,-1.721651410E-3,2.652406693E-4,5.236739526E-5,1.742750279E-3
1.627089750E0,-9.928640211E-4,5.906959996E-4,-6.168972468E-4,1.309680473E-3
1.637138750E0,6.034346879E-4,1.677861437E-4,2.872459590E-4,6.890543183E-4
1.647187750E0,-6.655255565E-4,-1.215460710E-3,2.236013766E-3,2.630594337E-3
1.657236750E0,1.627175225E-4,-5.470071919E-4,5.803264212E-4,8.139242073E-4
1.667285750E0,-2.828208962E-4,1.422096044E-3,2.834538464E-3,3.183858213E-3
1.677334750E0,-1.512668678E-3,-8.466509171E-4,-1.177780097E-3,2.095745753E-3
