"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.423091666E-2,1.313009299E-3,-3.312649205E-4,1.518138219E-3,2.034323848E-3
2.427991667E-2,1.085764496E-3,2.096904907E-3,1.855436247E-3,3.003088143E-3
3.432991666E-2,6.843692972E-5,1.884019002E-5,-2.154485323E-3,2.155654326E-3
4.437891667E-2,-1.714535174E-3,-2.746647224E-4,4.224820295E-4,1.787054179E-3
5.442791666E-2,-1.131765021E-4,-2.486686455E-3,-1.193790464E-3,2.760716233E-3
6.447691667E-2,8.238299051E-4,2.254916821E-3,-7.601276739E-4,2.518161961E-3
7.452691667E-2,5.977274850E-4,1.033058390E-3,-6.267032586E-4,1.348052209E-3
8.457591666E-2,-1.571999514E-3,3.145034425E-4,2.964479499E-4,1.630330112E-3
9.462591667E-2,1.631250721E-3,-1.568617765E-3,-9.155566804E-4,2.441267016E-3
1.046749167E-1,3.078644513E-4,-2.072067000E-3,-4.152326146E-4,2.135570251E-3
1.147239167E-1,-1.119589899E-3,2.571335062E-4,1.131385216E-4,1.154296109E-3
1.247739167E-1,1.475160127E-3,-1.087768935E-3,-1.499175094E-3,2.367881884E-3
1.348229167E-1,-2.082024002E-3,1.989779994E-3,-9.260629304E-4,3.025167916E-3
1.448719167E-1,1.574982889E-3,2.159276046E-4,-1.426033792E-3,2.135595516E-3
1.549219167E-1,-3.978868190E-4,2.446896397E-4,-5.868717562E-4,7.500702625E-4
1.649712500E-1,-2.907768823E-3,-1.404776238E-3,-2.394780749E-3,4.020384390E-3
1.750202500E-1,-2.043306595E-3,2.449084073E-3,2.902181586E-4,3.202708419E-3
1.850702500E-1,-5.720095942E-5,6.407713518E-4,4.762318567E-4,8.004103050E-4
1.951192500E-1,2.582524437E-3,-1.068711746E-3,4.373455886E-5,2.795262059E-3
2.051682500E-1,-1.043030992E-3,-9.716581553E-5,-1.389472978E-3,1.740112066E-3
2.152182500E-1,1.656881766E-3,-3.085331991E-5,-1.323959208E-3,2.121102803E-3
2.252672500E-1,1.649316750E-3,-8.510677144E-4,3.169419360E-4,1.882820805E-3
2.353162500E-1,2.697004238E-3,1.500769984E-3,2.460520249E-3,3.947189165E-3
2.453662500E-1,7.187097799E-4,8.126231842E-4,-5.054064095E-4,1.196802334E-3
2.554152500E-1,-1.834196271E-3,7.926495746E-4,5.172687816E-5,1.998810891E-3
2.654642500E-1,6.167016109E-4,-8.210493252E-5,-1.071949373E-4,6.313104239E-4
2.755142500E-1,-1.362027135E-3,1.844773069E-4,5.319636548E-4,1.473816516E-3
2.855632500E-1,4.775573907E-4,-1.171675511E-3,-6.782988785E-4,1.435609255E-3
2.956122500E-1,-6.074144039E-4,1.115447376E-3,-1.384761417E-4,1.277634826E-3
3.056622500E-1,-2.955814998E-4,6.602643989E-4,-1.298578572E-3,1.486480342E-3
3.157112500E-1,6.892554811E-4,1.097555272E-3,-3.901743330E-4,1.353490563E-3
3.257602500E-1,1.604149234E-3,-5.207159556E-4,-6.674604374E-4,1.813820087E-3
3.358102500E-1,-1.703150338E-4,-8.421596140E-4,1.987178344E-3,2.164975242E-3
3.458592500E-1,-1.556544099E-3,1.544800587E-3,-2.843777649E-3,3.591143231E-3
3.559082500E-1,-1.571191475E-3,-2.760199597E-3,2.692934126E-3,4.164041147E-3
3.659582500E-1,1.083196141E-3,1.188532915E-3,-2.097625285E-3,2.643095951E-3
3.760072500E-1,5.953051150E-4,3.169658128E-3,-2.500827890E-3,4.081085758E-3
3.860562500E-1,-3.674606560E-4,1.567235216E-3,2.571602818E-5,1.609942506E-3
3.961062500E-1,-1.471873606E-3,1.546196640E-3,1.008156105E-3,2.360829238E-3
4.061552500E-1,2.324393950E-3,2.135126851E-3,-1.976324245E-3,3.723900030E-3
4.162042500E-1,1.643041178E-4,-1.296622213E-3,6.495525013E-4,1.459501099E-3
4.262542500E-1,-8.678334998E-4,3.000367433E-4,1.961595844E-4,9.389545321E-4
4.363032500E-1,4.051575088E-4,8.848672733E-4,1.539724413E-3,1.821508706E-3
4.463522500E-1,1.601961558E-3,-1.615361311E-3,-2.834836952E-3,3.634827856E-3
4.564022500E-1,-7.882255595E-4,9.886776097E-4,-1.366369892E-3,1.861652392E-3
4.664512500E-1,-1.352612628E-3,2.679575235E-3,-2.015557606E-3,3.615543779E-3
4.765002500E-1,1.747103088E-4,2.128301188E-3,-1.089310157E-3,2.397245557E-3
4.865502500E-1,-5.498983664E-4,5.778423510E-4,6.109998212E-4,1.004793898E-3
4.965992500E-1,3.891322121E-4,2.550287172E-5,5.904934951E-4,7.076417475E-4
5.066482500E-1,6.638342747E-4,2.206393983E-3,-3.714644990E-4,2.333845802E-3
5.166982500E-1,6.646332331E-4,8.346000686E-4,-2.865096321E-4,1.104709183E-3
5.267472500E-1,-2.113796072E-3,3.318688832E-4,-2.664931235E-4,2.156221087E-3
5.367962500E-1,-1.558793243E-3,9.483909234E-4,1.236328739E-3,2.204039580E-3
5.468462500E-1,-6.229180144E-4,-1.056613401E-3,-4.447312967E-4,1.304700984E-3
5.568952500E-1,1.704684808E-3,2.803372219E-3,1.659315312E-4,3.285175698E-3
5.669442500E-1,3.597157774E-4,1.482724212E-3,8.472781628E-4,1.745206812E-3
5.769942500E-1,4.284253228E-4,1.996131614E-4,1.035830006E-3,1.138568168E-3
5.870432500E-1,4.029002041E-3,1.313868910E-3,1.443129266E-3,4.476799195E-3
5.970922500E-1,4.803398624E-4,-1.388858072E-4,-2.251473954E-3,2.306328384E-3
6.071422500E-1,-4.375330172E-5,-3.882404417E-4,1.350522391E-3,1.405900323E-3
6.171912500E-1,1.689165598E-3,-4.918375053E-4,2.056295052E-4,1.771289937E-3
6.272402500E-1,-9.157098248E-4,-1.174469478E-3,9.402513970E-4,1.761242666E-3
6.372902500E-1,-2.027815790E-4,-1.770751085E-3,8.283986244E-4,1.965432282E-3
6.473392500E-1,-7.036813768E-4,1.501637977E-3,2.273850259E-4,1.673854248E-3
6.573882500E-1,-7.252529031E-4,9.176041931E-5,-8.127529873E-5,7.355388651E-4
6.674382500E-1,-9.864036692E-4,2.434833907E-3,2.636464196E-4,2.640249569E-3
6.774872500E-1,-3.762734414E-4,1.322165132E-3,-3.379616537E-4,1.415598961E-3
6.875362500E-1,-7.183897542E-4,1.089811791E-3,-8.785708924E-4,1.573423144E-3
6.975862500E-1,8.025415009E-4,-1.885052770E-4,-3.563836217E-3,3.657941454E-3
7.076352500E-1,1.549507375E-3,1.897074282E-3,2.910383046E-7,2.449461986E-3
7.176842500E-1,-3.463970497E-4,3.234120086E-4,-3.249830566E-3,3.284202331E-3
7.277342500E-1,-2.163680037E-3,1.875827555E-3,2.308340627E-4,2.872894826E-3
7.377832500E-1,-1.595627749E-3,4.443782382E-4,-3.832908405E-4,1.700121114E-3
7.478322500E-1,2.499772236E-4,5.111698993E-4,-9.338476229E-5,5.766315913E-4
7.578822500E-1,2.814335050E-3,1.196134835E-3,-6.811444182E-4,3.132918454E-3
7.679312500E-1,8.616554260E-5,-7.443404756E-4,1.046196558E-4,7.565794848E-4
7.779802500E-1,-1.804412343E-3,5.899029784E-4,-7.055139286E-4,2.025250436E-3
7.880302500E-1,-1.207688823E-3,-4.960792139E-4,-1.066371100E-3,1.685750338E-3
7.980792500E-1,-9.235698963E-5,1.242964994E-3,3.091515973E-4,1.284159842E-3
8.081282500E-1,2.731831628E-4,-2.736534225E-3,1.463827444E-3,3.115451715E-3
8.181782500E-1,-2.337513492E-3,-1.082178671E-3,3.458324936E-4,2.598976743E-3
8.282272500E-1,-1.321069431E-3,3.339066170E-4,7.863998762E-4,1.573258667E-3
8.382762500E-1,1.503745560E-3,4.939623177E-4,2.545666648E-4,1.603138692E-3
8.483262500E-1,-9.688070859E-4,-1.736091450E-3,9.585623047E-4,2.207134428E-3
8.583752500E-1,3.268207656E-4,-1.527033746E-3,6.973061827E-4,1.710227993E-3
8.684242500E-1,-1.137722284E-3,1.198090613E-3,-1.143827569E-3,2.009520992E-3
8.784742500E-1,5.326124374E-4,-2.125534229E-3,7.419566973E-4,2.313454453E-3
8.885232500E-1,1.924755517E-3,1.263339072E-3,3.799230792E-3,4.442393952E-3
8.985722500E-1,1.166819828E-3,-1.748962328E-3,-1.218164572E-3,2.429868857E-3
9.086222500E-1,2.586310962E-3,-1.431748271E-3,8.576720720E-4,3.078069019E-3
9.186712500E-1,1.110919635E-3,6.031733938E-4,-2.920145635E-4,1.297394729E-3
9.287202500E-1,9.590687114E-4,1.938827336E-5,8.336777100E-4,1.270908031E-3
9.387702500E-1,1.569198910E-3,2.742530778E-4,1.327694161E-3,2.073733772E-3
9.488192500E-1,-1.110879239E-3,-1.111365855E-4,-4.832198028E-4,1.216513626E-3
9.588692500E-1,-3.214243799E-3,4.140385427E-4,1.948209829E-4,3.246651557E-3
9.689182500E-1,-1.216291916E-3,1.227133442E-3,8.665956557E-6,1.727801379E-3
9.789672500E-1,1.826665248E-4,2.089731395E-3,4.138564691E-6,2.097703862E-3
9.890172500E-1,-2.940432169E-4,1.833758783E-3,8.526649908E-4,2.043568025E-3
9.990662500E-1,1.216762175E-4,4.696878605E-4,-3.843733575E-4,6.189948838E-4
1.009115250E0,1.110705547E-3,3.160367254E-3,1.893047593E-4,3.355208531E-3
1.019165250E0,-3.513699048E-4,3.107846715E-4,-1.727638650E-3,1.790190835E-3
