Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
1.015542,-1.769870758,-6.475869179,-34.93956757,35.57868331
1.025591,-4.024429798,-5.452414513,-34.94183731,35.59293264
1.035641,-5.73061657,-3.722287655,-34.94727707,35.60909387
1.04569,-6.667872906,-1.536431074,-34.95554733,35.61897583
1.05574,-6.736527443,0.818646014,-34.96627045,35.61868965
1.065789,-5.921718121,3.021909475,-34.97557831,35.60182243
1.075839,-4.346910477,4.807368755,-34.98545837,35.58073527
1.085888,-2.211901665,5.937551975,-34.99216461,35.56119538
1.095938,0.192421094,6.26315546,-34.99588013,35.55243688
1.105987,2.548012972,5.72791338,-34.99585342,35.55293404
1.116037,4.535439968,4.423429966,-34.99246216,35.56134638
1.126086,5.890665054,2.524040699,-34.98582077,35.56794022
1.136136,6.438368797,0.290223897,-34.97630692,35.56513557
1.146185,6.123890877,-1.976544857,-34.96627426,35.55346825
1.156235,4.993805408,-3.983151197,-34.9565239,35.53536476
1.166284,3.196951628,-5.456000328,-34.94922256,35.5167087
1.176334,0.972377658,-6.223871708,-34.94330215,35.50656929
1.186383,-1.383015037,-6.166938305,-34.94071198,35.50770637
1.196433,-3.544210911,-5.310404301,-34.94301987,35.52149296
1.206482,-5.213641644,-3.772270441,-34.94802856,35.53557069
1.216532,-4.191635132,-0.645529509,-34.96255875,35.21884478
1.226581,7.983617306,6.28168869,-33.28392792,34.79967839
1.236631,18.74071121,7.525876999,-25.94648743,32.879679
1.24668,4.05224514,-6.114553452,-13.63762569,15.48526038
1.25673,-15.82925129,-1.825098157,-0.419697434,15.93964634
1.266779,-9.774996758,1.732513547,2.306108236,10.19167798
1.276829,-5.590217113,2.843472242,1.826154113,6.532281425
1.286878,-3.862867594,2.708129883,1.218317509,4.872372221
1.296928,-3.126796722,2.2551229,1.036103249,3.991985343
1.306977,-2.729899645,1.932465553,1.118639112,3.526773121
1.317027,-2.494229317,1.79580307,1.128268838,3.274000477
1.327076,-2.181447268,1.481604934,1.106113195,2.859606924
1.337126,-1.961994767,1.215069413,1.080524206,2.548205193
1.347175,-1.903078198,1.124278545,1.064020038,2.453130147
1.357225,-1.864063501,1.053939223,1.050384283,2.385126363
1.367274,-1.845605612,0.993322253,1.032347798,2.336384204
1.377324,-1.846384525,0.970890284,1.021397233,2.322717388
1.387373,-1.853105307,0.958100438,1.014665604,2.31980646
1.397423,-1.855745554,0.942744136,1.012790442,2.314800757
1.407472,-1.853272319,0.912983358,1.017987847,2.303140499
1.417522,-1.812681794,0.841313899,1.048647761,2.256831073
1.427571,-1.684013605,0.723872185,1.121753097,2.149005066
1.437621,-1.315412045,0.443623811,1.291790843,1.896268577
1.44767,-0.418197006,-0.191999242,1.722673059,1.783074567
1.45772,1.10665524,-0.730536342,2.452215672,2.787782428
1.467769,2.747486591,-0.684320927,3.119253397,4.21268554
1.477819,4.239296913,-0.384205014,3.428912401,5.465957562
1.487868,5.540290833,-0.256016672,3.468965054,6.541718856
1.497918,6.631309509,-0.432179809,3.395213366,7.462474053
1.507967,7.24606657,-1.231822371,3.218965769,8.024001976
1.518017,7.356506348,-2.430040836,2.91176486,8.276572884
1.528066,6.635983467,-3.678437948,2.19201231,7.897600919
1.538116,5.061841488,-3.932676315,1.246033549,6.529990954
1.548165,3.075560808,-3.628449678,0.284906387,4.765070094
1.558215,0.850291789,-2.985233784,-0.154662713,3.107818757
1.568264125,-0.949969172,-1.64386189,0.023068931,1.898751041
1.578314125,-1.662103057,-0.340966552,0.132275552,1.701864149
1.588363125,-1.47530818,0.436736912,-0.10076943,1.541890993
