E0,E0_err,Gamma,Gamma_err
-3.222266531085709e-07,4.635626760333304e-10,1.692278062660383e-08,1.6040647963113663e-09
-2.56101296492232e-07,1.2909261801005266e-09,3.2743644078003546e-08,4.614215837253163e-09
-1.5237859581024051e-07,7.943788426604733e-10,2.5855644273079332e-08,3.170169587512652e-09
-4.529802537022915e-08,6.9522740768433464e-09,7.369516913169891e-08,3.696257648129243e-08
3.7279457011842833e-08,1.5933988998143428e-09,2.0494308550022873e-08,9.806049048106891e-09
1.4201071477914438e-07,7.337793768155143e-10,2.8025364369634684e-08,3.0988277645030522e-09
2.4597545187669514e-07,1.2224223080515516e-09,3.23119467709526e-08,4.551212922006852e-09
3.045562315767118e-07,4.269209755774614e-10,1.5128750899854864e-08,1.3947882261602949e-09
